code,publication_date
13205,2019-07-18 00:00:00.000000000
13207,2019-07-18 00:00:00.000000000
13204,2019-07-22 00:00:00.000000000
92002,2019-07-23 00:00:00.000000000
13213,2019-07-24 00:00:00.000000000
69284,2019-07-30 00:00:00.000000000
31389,2019-07-30 00:00:00.000000000
13209,2019-07-30 00:00:00.000000000
32279,2019-07-31 00:00:00.000000000
13206,2019-07-31 00:00:00.000000000
13210,2019-07-31 00:00:00.000000000
13203,2019-08-01 00:00:00.000000000
13208,2019-08-01 00:00:00.000000000
13215,2019-08-01 00:00:00.000000000
13202,2019-08-02 00:00:00.000000000
13212,2019-08-02 00:00:00.000000000
32387,2019-08-04 00:00:00.000000000
90001,2019-08-05 00:00:00.000000000
90002,2019-08-05 00:00:00.000000000
90004,2019-08-05 00:00:00.000000000
90082,2019-08-05 00:00:00.000000000
90007,2019-08-05 00:00:00.000000000
90008,2019-08-05 00:00:00.000000000
90010,2019-08-05 00:00:00.000000000
90011,2019-08-05 00:00:00.000000000
90012,2019-08-05 00:00:00.000000000
90013,2019-08-05 00:00:00.000000000
90015,2019-08-05 00:00:00.000000000
90017,2019-08-05 00:00:00.000000000
90020,2019-08-05 00:00:00.000000000
90021,2019-08-05 00:00:00.000000000
90022,2019-08-05 00:00:00.000000000
90026,2019-08-05 00:00:00.000000000
90029,2019-08-05 00:00:00.000000000
90031,2019-08-05 00:00:00.000000000
90032,2019-08-05 00:00:00.000000000
90034,2019-08-05 00:00:00.000000000
90035,2019-08-05 00:00:00.000000000
90036,2019-08-05 00:00:00.000000000
90039,2019-08-05 00:00:00.000000000
90047,2019-08-05 00:00:00.000000000
90048,2019-08-05 00:00:00.000000000
90049,2019-08-05 00:00:00.000000000
90050,2019-08-05 00:00:00.000000000
90059,2019-08-05 00:00:00.000000000
90060,2019-08-05 00:00:00.000000000
90062,2019-08-05 00:00:00.000000000
90067,2019-08-05 00:00:00.000000000
90068,2019-08-05 00:00:00.000000000
90071,2019-08-05 00:00:00.000000000
90069,2019-08-05 00:00:00.000000000
90074,2019-08-05 00:00:00.000000000
90075,2019-08-05 00:00:00.000000000
90077,2019-08-05 00:00:00.000000000
90080,2019-08-05 00:00:00.000000000
90076,2019-08-05 00:00:00.000000000
90084,2019-08-05 00:00:00.000000000
90087,2019-08-05 00:00:00.000000000
90093,2019-08-05 00:00:00.000000000
90094,2019-08-05 00:00:00.000000000
90097,2019-08-05 00:00:00.000000000
90098,2019-08-05 00:00:00.000000000
90099,2019-08-05 00:00:00.000000000
90100,2019-08-05 00:00:00.000000000
90103,2019-08-05 00:00:00.000000000
90104,2019-08-05 00:00:00.000000000
90037,2019-08-05 00:00:00.000000000
13211,2019-08-05 00:00:00.000000000
44171,2019-08-06 00:00:00.000000000
